,page_id,page_name
102,9258148868,The New Yorker
103,42354254341,ABC13 Houston
104,18943096862,Lizzy the Lezzy
105,217940775059524,Addicted 2 Country Music
106,31160214090,ABC7NY
107,273863336077899,Unknown Page Name13
108,143666524748,The Telegraph
109,532854420074062,Faves USA
110,232843448409,Ezra Klein
111,131247023568988,Proud Liberal Americans
112,304981108326,Coffee Party USA
113,18807449704,Mashable
114,131929868907,Collective Evolution
115,18356341358,ABC15 Arizona
116,89033370735,E! News
117,6363207806,CollegeHumor
118,62317591679,POLITICO
119,112779115408517,KIRO 7 News
120,200137333331078,Unknown Page Name14
121,150354326163,Proud to be an American
122,52150999700,Entertainment Weekly
123,451075468389015,Donald Trump Is My President
124,8719774366,Complex
125,156720204453023,Unknown Page Name15
126,131201286936061,Franklin Graham
127,468285376597666,All Def
128,1425604894326440,Unknown Page Name16
129,59344923821,KDKA-TV | CBS Pittsburgh
130,545775132233909,The Late Show with Stephen Colbert
131,114288853688,NBC Nightly News with Lester Holt
132,140738092630206,TheBlaze
133,292351509697,Jerusalem Prayer Team
134,6333396177,NewsBusters.org
135,142868065759441,Unknown Page Name17
136,93228695778,Tea Party Patriots
137,38245492451,ABC7
138,10018702564,HuffPost Black Voices
139,12795435237,Fox Business
140,171133359591663,Rickey Smiley
141,108038612554992,Unknown Page Name18
142,150799104953073,United With Israel
143,21090771700,Gun Owners of America
144,325935647511804,Joe Walsh
145,92925746942,Judicial Watch
146,311190048935167,100 Percent FED Up
147,118436878597,LifeNews.com
148,29259828486,The Atlantic
149,7533944086,The Hill
150,475549362567960,Conservative Review
151,295732903793433,God Bless the United States
152,219367258105115,CNN Politics
153,195530355493,Chicks On The Right
154,26423400230,The Root
155,413605605357873,Unknown Page Name19
156,5863113009,Los Angeles Times
157,129930197818,Michael Baisden Live
158,799539910084929,Shaun King
159,238680483163972,Unknown Page Name20
160,134486075205,New York Post
161,13312631635,The Independent
162,165583971161,ABC 7 Chicago
163,10664530778,Rolling Stone
164,139398939438430,Left Action
165,69983322463,Ted Cruz
166,197535293612901,UberFacts
167,254541051349349,Unknown Page Name21
168,223649167822693,Vox
169,486474041433960,Unknown Page Name22
170,37763684202,The Daily Beast
171,38471053686,Elizabeth Warren
172,210732882417014,Unknown Page Name23
173,43279570822,FOX 5 Atlanta
174,166618413413767,Jay Sekulow
175,240944029279128,Jill Stein
176,467133963318685,Western Journal Politics
177,15139936162,Steven Crowder
178,68771922854,Essence
179,273864989376427,MSNBC
180,16307558831,Mark Levin
181,208421665712,TMZ
182,39795225543,ComicBook.com
183,163513530519501,Brad Takei
184,513600888679373,Dennis Michael Lynch
185,20324257234,The Raw Story
186,15779440092,National Review
187,190759221080032,Anonymous1
188,338028696036,Yahoo News
189,271042954725,Laura Ingraham
190,153213781413350,HuffPost Women
191,22561081832,NRA Institute for Legislative Action
192,25987609066,The Rachel Maddow Show
193,7976226799,The Daily Show
194,201956993160690,MRCTV
195,115099421882868,Unknown Page Name24
196,21516776437,Slate.com
197,20446254070,Business Insider
198,618786471475708,BuzzFeed News
199,5978057725,Libertarian Party
